,name,rating,rating_top,ratings_count,reviews_count,suggestions_count,days,metacritic,added,genre,genres,Label
376,FIFA 18,4.0,4,590,594,228,1558,82,2405,Sports,"0,0,0,0,0,0,0",5
378,Guacamelee! Gold Edition,5.0,4,265,267,376,3068,88,2401,Indie,"0,0,1,1,0,0,0",5
383,Dead Island Riptide,4.0,4,357,357,710,3176,60,2384,Shooter,"0,1,1,1,0,0,0",4
384,Command & Conquer: Red Alert 3 - Uprising,4.0,4,188,188,679,4678,64,2384,Strategy,"0,0,0,0,0,0,1",3
386,Endless Legend,4.0,4,310,311,432,2662,82,2381,Strategy,"0,0,0,0,1,0,1",5
389,DiRT 3,4.0,4,334,335,464,3875,87,2373,Racing,"1,0,0,0,0,0,0",5
390,Blasphemous,5.0,4,324,332,432,845,78,2369,Indie,"0,0,1,1,0,0,0",5
392,>observer_,5.0,4,375,381,517,1601,77,2365,Indie,"0,0,1,0,0,0,0",5
393,F1 2018,4.0,4,151,151,182,1227,84,2364,Racing,"1,0,0,1,0,0,0",5
394,Call of Duty: Infinite Warfare,4.0,4,432,436,492,1884,73,2362,Shooter,"0,1,0,1,0,0,0",4
402,ENSLAVED: Odyssey to the West Premium Edition,5.0,4,308,309,613,2991,70,2333,Adventure,"0,0,1,1,0,0,0",4
404,Hitman 3: Contracts,5.0,4,374,376,434,6465,77,2328,Shooter,"0,1,1,1,0,0,0",5
418,Alice: Madness Returns,5.0,4,422,426,612,3854,75,2292,Adventure,"0,0,1,1,0,0,0",4
422,Bloodstained: Ritual of the Night,5.0,4,350,357,608,928,83,2273,Adventure,"0,0,1,1,0,0,0",5
423,Conan Exiles,3.0,3,369,373,633,1797,67,2267,Massively Multiplayer,"0,0,1,1,0,0,0",4
426,Thief 3: Deadly Shadows,5.0,4,189,189,404,6431,85,2258,Action,"0,0,0,1,0,0,0",5
429,Tell Me Why,4.0,4,153,156,639,492,76,2251,Adventure,"0,0,1,0,0,0,0",4
430,Dear Esther,4.0,4,303,304,296,3609,75,2249,Casual,"0,0,1,0,0,0,0",4
432,DISTRAINT,4.0,4,194,194,197,2264,76,2237,Casual,"0,0,1,0,0,0,0",4
433,Dungeon of the Endless,4.0,4,219,220,421,2623,79,2234,Indie,"0,0,1,0,1,0,1",5
434,Ashes of the Singularity: Escalation,3.0,1,46,46,505,1879,81,2229,Strategy,"0,0,0,0,1,0,1",4
435,Two Worlds Epic Edition,3.0,4,146,146,517,4629,65,2229,RPG,"0,0,0,0,1,0,0",4
441,Golf With Your Friends,5.0,4,243,244,320,2164,69,2213,Casual,"0,0,0,0,0,0,0",4
442,Factorio,5.0,5,524,533,448,505,90,2202,Casual,"0,0,0,0,0,0,1",5
447,Risk of Rain 2,5.0,4,408,415,428,1010,85,2188,Shooter,"0,1,0,1,0,0,0",5
452,Absolver,3.0,3,346,349,457,1587,72,2173,Indie,"0,0,1,1,0,0,0",4
453,Rage 2,4.0,3,544,558,547,963,71,2173,Racing,"1,1,0,1,0,0,0",4
457,Just Cause 4,4.0,3,371,374,540,1124,68,2166,Adventure,"0,0,1,1,0,0,0",4
458,Two Worlds II,4.0,3,207,208,684,4071,76,2165,RPG,"0,0,0,0,1,0,0",4
459,The Ship: Murder Party,3.0,3,152,153,270,5653,76,2164,Indie,"0,0,0,1,1,0,0",4
463,Resident Evil 0 / biohazard 0 HD REMASTER,5.0,4,311,313,589,2174,69,2154,Adventure,"0,0,1,1,0,0,0",4
473,The Turing Test,4.0,4,273,278,226,1950,74,2119,Adventure,"0,0,1,0,0,0,0",4
475,Downwell,5.0,4,408,411,121,2271,81,2114,Adventure,"0,0,1,1,0,0,0",5
476,Marvel’s Avengers,3.0,3,240,243,537,484,68,2114,Adventure,"0,0,1,1,1,0,0",4
481,The Bridge,4.0,4,223,224,390,3235,74,2098,Casual,"0,0,0,0,0,1,1",4
483,Defiance,3.0,1,190,190,710,3196,64,2093,Shooter,"0,1,0,1,1,0,0",3
485,Tomb Raider: Definitive Edition,5.0,4,206,207,660,2892,86,2091,Adventure,"0,0,1,1,0,0,0",5
491,Portal Knights,4.0,3,304,305,412,2137,72,2073,Adventure,"0,0,1,1,1,0,0",4
493,Dragon Age 2,5.0,4,638,648,597,3952,81,2064,Adventure,"0,0,1,1,1,0,0",5
494,Everybody's Gone to the Rapture,4.0,3,439,442,416,2335,76,2064,Casual,"0,0,1,0,0,0,0",4
495,Mutant Year Zero: Road to Eden,4.0,4,394,400,476,1125,78,2063,Strategy,"0,0,1,0,1,0,1",5
496,Northgard,5.0,4,357,360,433,1397,79,2063,Adventure,"0,0,1,0,1,0,1",5
498,Apotheon,4.0,4,290,290,361,2525,78,2050,Indie,"0,0,1,1,1,0,0",5
499,Back to the Future: The Game,4.0,4,216,218,502,4029,74,2048,Adventure,"0,0,1,1,0,1,0",4
500,Slime Rancher,5.0,4,365,373,425,2179,81,2047,Indie,"0,0,1,1,0,0,0",5
501,Lovers in a Dangerous Spacetime,4.0,4,337,340,357,2307,80,2045,Shooter,"0,1,0,1,0,0,0",5
503,Arma 3,5.0,4,289,291,573,3033,74,2043,Shooter,"0,1,0,1,0,0,1",4
506,Medieval II: Total War,5.0,5,226,227,562,5149,88,2034,Strategy,"0,0,0,0,0,0,1",5
516,Shadowrun: Hong Kong - Extended Edition,4.0,4,185,186,604,2326,81,2016,Indie,"0,0,1,0,1,0,1",5
517,Sonic Adventure 2,5.0,4,298,301,429,7502,89,2011,Platformer,"0,0,1,1,0,0,0",5
519,Cyberpunk 2077,5.0,5,1364,1422,611,387,68,8246,Adventure,"0,0,1,1,1,0,0",4
523,Deus Ex: Mankind Divided,5.0,4,1623,1639,621,1958,83,8132,Action,"0,0,0,1,1,0,0",5
524,Spec Ops: The Line,5.0,4,1538,1555,552,3476,76,8110,Shooter,"0,1,0,1,0,0,0",5
528,Marvel's Spider-Man,5.0,5,2757,2817,561,1212,87,7914,Adventure,"0,0,1,1,0,0,0",5
531,Far Cry 3,5.0,4,2158,2179,647,3321,88,7818,Shooter,"0,1,0,1,0,0,0",5
532,Borderlands,5.0,4,1645,1656,642,4456,81,7720,Shooter,"0,1,0,1,1,0,0",5
534,L.A. Noire,5.0,4,1674,1689,440,3882,83,7648,Adventure,"0,0,1,1,0,1,0",5
537,Little Nightmares,5.0,4,990,1008,335,1710,81,7628,Platformer,"0,0,0,1,0,0,0",5
538,The Last Of Us Remastered,6.0,5,2462,2487,471,2713,95,7567,Adventure,"0,0,1,1,0,0,0",6
548,Path of Exile,4.0,4,1233,1241,598,2992,86,7311,Indie,"0,0,0,1,1,0,0",5
555,Dishonored,5.0,5,2025,2044,679,3385,91,7113,Shooter,"0,1,1,1,1,0,0",5
562,Night in the Woods,5.0,5,507,519,230,1775,88,1997,Adventure,"0,0,1,0,0,0,0",5
566,Crysis 2,5.0,4,538,538,610,3938,85,1991,Shooter,"0,1,0,1,0,0,0",5
569,Baldur's Gate: Enhanced Edition,5.0,4,228,231,536,3321,78,1983,Strategy,"0,0,0,0,1,0,1",5
570,Reus,4.0,3,192,194,291,3153,75,1978,Strategy,"0,0,0,0,0,0,1",4
571,The Crew,4.0,3,365,367,531,2588,71,1978,Racing,"1,0,1,0,0,0,0",4
572,DEFCON,4.0,4,153,154,343,5574,84,1976,Strategy,"0,0,0,0,0,0,1",5
573,NBA 2K16,4.0,4,282,282,339,2290,86,1976,Sports,"0,0,0,0,0,0,0",5
580,Aliens vs. Predator,4.0,4,339,343,669,4337,68,1964,Shooter,"0,1,0,1,0,0,0",4
583,Thief II: The Metal Age,5.0,5,140,140,428,7977,87,1958,Action,"0,0,0,1,0,0,0",5
584,We Were Here,5.0,4,273,275,263,1793,63,1958,Adventure,"0,0,1,1,0,1,0",4
592,Project CARS,4.0,4,219,219,411,2432,83,1952,Racing,"1,0,0,0,0,0,0",5
600,Owlboy,5.0,4,271,273,483,1888,88,1942,Indie,"0,0,1,1,0,0,0",5
602,Kathy Rain,3.0,4,121,122,354,2067,77,1937,Indie,"0,0,1,0,0,1,0",4
603,Untitled Goose Game,5.0,4,507,516,117,834,80,1933,Indie,"0,0,0,1,0,1,0",5
604,Rome: Total War - Collection,5.0,4,194,194,502,5240,92,1932,Strategy,"0,0,0,0,0,0,1",5
608,Streets of Rage 4,5.0,4,333,341,483,611,84,1918,Indie,"0,0,0,1,0,0,0",5
622,Tiny and Big: Grandpa's Leftovers,4.0,3,126,126,425,3484,75,1887,Adventure,"0,0,1,1,0,0,0",4
624,Mini Metro,5.0,4,362,366,139,2249,77,1885,Strategy,"0,0,0,0,0,1,1",5
627,Plants vs. Zombies,5.0,4,587,590,242,4624,88,1872,Strategy,"0,0,0,1,0,1,1",5
628,DOOM 3,5.0,4,450,454,546,6360,87,1869,Shooter,"0,1,0,1,0,0,0",5
640,Anthem,3.0,3,429,435,644,1044,56,1835,Shooter,"0,1,1,1,1,0,0",3
643,Teslagrad,4.0,4,185,186,413,2942,77,1827,Adventure,"0,0,1,1,0,1,0",5
645,LEGO Harry Potter: Years 1-4,4.0,4,299,301,511,4230,79,1818,Family,"0,0,1,1,0,0,0",5
647,Dead Rising,4.0,4,285,287,417,5625,82,1817,Action,"0,0,0,1,0,0,0",5
652,SteamWorld Heist,5.0,4,257,258,579,2214,81,1808,Adventure,"0,0,1,1,1,0,1",5
654,TowerFall Ascension,5.0,4,251,254,391,3112,87,1807,Platformer,"0,0,0,1,0,0,0",5
655,Lethal League,4.0,4,152,152,412,2684,82,1806,Indie,"0,0,0,1,0,0,0",5
659,Contrast,4.0,4,255,255,580,2969,62,1799,Indie,"0,0,1,1,0,1,0",4
662,Realm of the Mad God,4.0,4,175,177,361,3603,82,1796,Indie,"0,0,0,1,1,0,0",5
664,Deadly Premonition: The Director's Cut,5.0,5,170,172,474,4314,59,1789,Adventure,"0,0,1,1,0,0,0",3
668,FIFA 20,4.0,4,358,363,429,827,68,1783,Sports,"0,0,0,0,0,0,0",4
669,Puzzle Agent 2,4.0,4,95,96,233,3839,63,1782,Casual,"0,0,1,0,0,1,0",3
671,Goodbye Deponia,5.0,4,205,206,464,3000,80,1778,Adventure,"0,0,1,0,1,0,0",5
673,The Council,4.0,4,246,253,490,1391,76,1773,Adventure,"0,0,1,1,1,0,0",4
678,Lara Croft GO,4.0,4,233,234,328,2319,84,1765,Strategy,"0,0,1,0,0,1,1",5
680,Wreckfest,4.0,4,225,227,324,1297,81,1761,Racing,"1,0,0,1,0,0,0",5
688,The Escapists,4.0,4,208,209,275,2515,71,1754,Adventure,"0,0,1,1,1,1,1",4
689,Divide By Sheep,3.0,1,124,124,218,2375,83,1752,Educational,"0,0,1,0,0,1,0",5
690,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,5.0,4,347,354,491,2158,80,1748,Fighting,"0,0,0,0,0,0,0",5
693,Poker Night 2,4.0,4,192,193,316,3174,75,1738,Casual,"0,0,0,0,0,0,0",4
696,Back to Bed,3.0,3,146,147,193,2705,57,1724,Adventure,"0,0,1,1,0,1,1",3
707,Forza Horizon 3,5.0,5,511,514,456,1922,88,1709,Racing,"1,0,0,0,0,0,0",5
711,Sid Meier's Pirates!,5.0,4,210,211,528,6249,88,1704,Educational,"0,0,1,1,1,0,1",5
714,Titanfall,5.0,4,341,343,667,2853,85,1699,Shooter,"0,1,0,1,0,0,0",5
715,Prince of Persia: The Forgotten Sands,4.0,4,342,342,711,4246,75,1699,Adventure,"0,0,1,1,0,0,0",4
716,Star Wars: Squadrons,4.0,4,149,153,429,456,79,1698,Action,"0,0,0,1,0,0,0",5
719,Planescape: Torment: Enhanced Edition,5.0,5,214,216,600,1726,85,1695,Strategy,"0,0,1,0,1,0,1",5
720,Baldur's Gate II: Enhanced Edition,5.0,5,181,183,816,2969,78,1692,Strategy,"0,0,0,0,1,0,1",4
721,Final Fantasy IX,5.0,5,453,458,493,7848,84,1690,Adventure,"0,0,1,0,1,0,0",5
728,Lost Planet 3,4.0,3,145,146,613,3050,60,1678,Shooter,"0,1,0,1,0,0,0",3
729,The Escapists 2,4.0,4,173,175,356,1594,74,1675,Strategy,"0,0,0,0,0,0,1",4
738,Return to Castle Wolfenstein,5.0,4,329,332,626,7509,88,1657,Shooter,"0,1,0,1,0,0,0",5
740,The Walking Dead: A New Frontier,4.0,4,450,453,606,1839,71,1648,Adventure,"0,0,1,1,0,0,0",4
742,Commandos 3: Destination Berlin,5.0,4,139,139,655,6654,72,1647,Action,"0,0,0,1,0,0,0",5
744,Unepic,5.0,4,210,216,261,3747,68,1640,Platformer,"0,0,0,1,1,0,0",4
748,Call of Duty,5.0,4,599,609,559,6639,91,1631,Shooter,"0,1,0,1,0,0,0",5
750,NightSky,3.0,3,87,87,176,4013,78,1628,Action,"0,0,0,1,0,1,1",4
755,Command & Conquer: Red Alert 3,5.0,4,268,270,561,5114,82,1622,Strategy,"0,0,0,0,0,0,1",5
756,Old Man's Journey,4.0,4,202,210,401,1690,77,1622,Adventure,"0,0,1,1,0,1,0",5
758,Tom Clancy's Splinter Cell,5.0,4,342,346,406,6985,91,1619,Adventure,"0,0,1,1,0,0,0",5
762,State of Decay: YOSE,4.0,4,177,178,523,2441,79,1616,Shooter,"0,1,0,1,1,0,0",4
764,Cities in Motion 2,3.0,3,79,80,396,3196,72,1614,Strategy,"0,0,0,0,0,0,1",4
765,X-Blades,3.0,3,124,124,673,4712,54,1612,Adventure,"0,0,1,1,1,0,0",3
770,Outriders,4.0,3,161,169,1025,275,73,1606,Shooter,"0,1,1,1,1,0,0",4
772,Operation Flashpoint: Red River,3.0,3,70,70,531,3910,67,1602,Shooter,"0,1,0,1,0,0,1",3
773,And Yet It Moves,3.0,3,131,131,403,4657,75,1600,Platformer,"0,0,0,1,0,1,0",4
774,Assassin's Creed III: Remastered,4.0,4,295,298,651,1009,71,1598,Adventure,"0,0,1,1,0,0,0",4
